x,y,f_inword,f_inword,p_sameword_given_xy
经,济,3474,3474,1.0
发,展,3318,3318,1.0
企,业,2610,2610,1.0
记,者,2158,2158,1.0
社,会,2072,2072,1.0
我,们,2027,2027,1.0
市,场,1973,1973,1.0
１,月,1943,1943,1.0
问,题,1714,1714,1.0
政,府,1626,1626,1.0
全,国,1614,1614,1.0
公,司,1612,1612,1.0
北,京,1607,1607,1.0
本,报,1467,1467,1.0
领,导,1408,1408,1.0
他,们,1354,1354,1.0
改,革,1291,1291,1.0
中,央,1287,1287,1.0
世,界,1280,1280,1.0
管,理,1263,1263,1.0
新,华,1219,1219,1.0
地,区,1219,1219,1.0
主,义,1204,1204,1.0
我,国,1193,1193,1.0
技,术,1121,1121,1.0
国,际,1062,1062,1.0
活,动,1060,1060,1.0
群,众,1024,1024,1.0
干,部,1007,1007,1.0
文,化,985,985,1.0
研,究,973,973,1.0
方,面,969,969,1.0
组,织,947,947,1.0
自,己,933,933,1.0
金,融,926,926,1.0
去,年,917,917,1.0
精,神,916,916,1.0
一,些,910,910,1.0
同,志,878,878,1.0
今,天,866,866,1.0
服,务,853,853,1.0
工,程,848,848,1.0
生,活,821,821,1.0
民,族,809,809,1.0
人,员,805,805,1.0
农,业,795,795,1.0
教,育,776,776,1.0
科,技,767,767,1.0
政,治,754,754,1.0
报,道,753,753,1.0
历,史,740,740,1.0
银,行,725,725,1.0
解,决,720,720,1.0
委,员,707,707,1.0
表,示,704,704,1.0
产,业,702,702,1.0
积,极,695,695,1.0
政,策,687,687,1.0
艺,术,675,675,1.0
投,资,675,675,1.0
主,席,673,673,1.0
农,村,670,670,1.0
举,行,662,662,1.0
经,营,662,662,1.0
联,合,656,656,1.0
文,明,653,653,1.0
这,些,652,652,1.0
美,元,647,647,1.0
集,团,636,636,1.0
农,民,636,636,1.0
０,万,632,632,1.0
图,片,627,627,1.0
单,位,625,625,1.0
情,况,615,615,1.0
建,立,611,611,1.0
基,础,606,606,1.0
理,论,598,598,1.0
国,务,591,591,1.0
制,度,570,570,1.0
继,续,567,567,1.0
香,港,561,561,1.0
稳,定,559,559,1.0
困,难,554,554,1.0
参,加,553,553,1.0
影,响,552,552,1.0
开,始,552,552,1.0
体,育,544,544,1.0
坚,持,541,541,1.0
十,五,538,538,1.0
努,力,531,531,1.0
价,格,530,530,1.0
需,要,529,529,1.0
特,别,528,528,1.0
开,展,525,525,1.0
贫,困,522,522,1.0
结,构,522,522,1.0
计,划,522,522,1.0
提,供,515,515,1.0
许,多,514,514,1.0
希,望,508,508,1.0
世,纪,507,507,1.0
事,业,503,503,1.0
总,理,494,494,1.0
务,院,489,489,1.0
这,种,489,489,1.0
电,视,486,486,1.0
这,样,486,486,1.0
由,于,486,486,1.0
总,统,476,476,1.0
实,际,470,470,1.0
时,间,466,466,1.0
９,６,464,464,1.0
支,持,460,460,1.0
增,加,459,459,1.0
部,长,457,457,1.0
促,进,456,456,1.0
全,面,456,456,1.0
泽,民,451,451,1.0
形,成,449,449,1.0
自,治,446,446,1.0
规,定,445,445,1.0
学,习,441,441,1.0
环,境,437,437,1.0
调,整,437,437,1.0
采,取,430,430,1.0
措,施,429,429,1.0
质,量,427,427,1.0
传,统,426,426,1.0
新,闻,426,426,1.0
拉,克,422,422,1.0
信,息,412,412,1.0
什,么,411,411,1.0
任,务,407,407,1.0
根,据,407,407,1.0
重,点,401,401,1.0
０,％,394,394,1.0
广,大,391,391,1.0
伊,拉,390,390,1.0
可,能,387,387,1.0
出,口,387,387,1.0
规,模,383,383,1.0
进,入,382,382,1.0
解,放,379,379,1.0
出,版,379,379,1.0
战,略,378,378,1.0
电,话,372,372,1.0
形,式,371,371,1.0
一,定,369,369,1.0
保,持,366,366,1.0
劳,动,361,361,1.0
而,且,357,357,1.0
能,力,356,356,1.0
２,月,352,352,1.0
系,统,351,351,1.0
完,成,349,349,1.0
保,护,348,348,1.0
专,家,348,348,1.0
竞,争,346,346,1.0
严,重,346,346,1.0
成,功,345,345,1.0
孩,子,342,342,1.0
革,命,340,340,1.0
各,级,338,338,1.0
祖,国,336,336,1.0
发,挥,336,336,1.0
主,任,334,334,1.0
资,源,333,333,1.0
青,年,332,332,1.0
危,机,328,328,1.0
效,益,327,327,1.0
创,造,325,325,1.0
帮,助,325,325,1.0
台,湾,321,321,1.0
０,．,321,321,1.0
方,式,320,320,1.0
推,动,319,319,1.0
因,为,318,318,1.0
落,实,317,317,1.0
如,果,317,317,1.0
深,入,314,314,1.0
罗,斯,313,313,1.0
认,识,313,313,1.0
宣,传,312,312,1.0
３,日,311,311,1.0
介,绍,310,310,1.0
包,括,309,309,1.0
演,出,308,308,1.0
消,费,308,308,1.0
素,质,307,307,1.0
灾,区,306,306,1.0
利,益,305,305,1.0
第,三,305,305,1.0
１,．,302,302,1.0
交,通,302,302,1.0
发,表,301,301,1.0
就,业,299,299,1.0
调,查,299,299,1.0
作,品,298,298,1.0
长,期,298,298,1.0
９,日,297,297,1.0
贸,易,297,297,1.0
成,果,296,296,1.0
实,践,296,296,1.0
关,于,296,296,1.0
下,岗,294,294,1.0
之,间,293,293,1.0
公,安,292,292,1.0
代,化,289,289,1.0
俄,罗,288,288,1.0
阶,段,288,288,1.0
如,何,287,287,1.0
时,期,286,286,1.0
内,容,285,285,1.0
期,间,285,285,1.0
监,督,283,283,1.0
获,得,282,282,1.0
领,域,282,282,1.0
设,施,282,282,1.0
优,势,282,282,1.0
贡,献,280,280,1.0
商,品,280,280,1.0
原,则,279,279,1.0
旅,游,279,279,1.0
自,然,279,279,1.0
双,方,277,277,1.0
按,照,276,276,1.0
召,开,276,276,1.0
指,导,276,276,1.0
保,证,276,276,1.0
充,分,276,276,1.0
访,问,276,276,1.0
．,５,276,276,1.0
原,因,275,275,1.0
经,验,274,274,1.0
犯,罪,274,274,1.0
７,０,274,274,1.0
投,入,273,273,1.0
比,赛,272,272,1.0
良,好,271,271,1.0
力,量,271,271,1.0
欧,洲,271,271,1.0
创,作,271,271,1.0
制,定,270,270,1.0
形,势,270,270,1.0
分,别,269,269,1.0
直,接,268,268,1.0
货,币,268,268,1.0
医,院,268,268,1.0
贯,彻,267,267,1.0
变,化,267,267,1.0
报,告,267,267,1.0
认,真,266,266,1.0
军,事,265,265,1.0
持,续,264,264,1.0
股,份,264,264,1.0
扩,大,263,263,1.0
交,易,263,263,1.0
话,剧,261,261,1.0
音,乐,259,259,1.0
这,次,259,259,1.0
体,系,259,259,1.0
根,本,257,257,1.0
健,康,256,256,1.0
６,日,256,256,1.0
慰,问,255,255,1.0
知,识,253,253,1.0
人,口,253,253,1.0
运,动,253,253,1.0
标,准,251,251,1.0
贷,款,251,251,1.0
联,系,250,250,1.0
改,善,247,247,1.0
天,津,247,247,1.0
宣,布,246,246,1.0
分,析,245,245,1.0
基,层,245,245,1.0
结,果,245,245,1.0
处,理,244,244,1.0
意,义,243,243,1.0
斗,争,243,243,1.0
价,值,243,243,1.0
基,金,242,242,1.0
参,与,240,240,1.0
综,合,240,240,1.0
证,券,240,240,1.0
增,强,239,239,1.0
明,显,239,239,1.0
５,％,239,239,1.0
优,秀,239,239,1.0
加,快,238,238,1.0
０,亿,238,238,1.0
亚,洲,237,237,1.0
居,民,237,237,1.0
团,结,236,236,1.0
结,束,236,236,1.0
检,查,236,236,1.0
首,先,236,236,1.0
具,体,235,235,1.0
铁,路,235,235,1.0
讲,话,234,234,1.0
特,色,234,234,1.0
方,针,234,234,1.0
常,委,233,233,1.0
治,区,232,232,1.0
大,量,232,232,1.0
选,举,232,232,1.0
培,训,232,232,1.0
石,油,232,232,1.0
共,中,231,231,1.0
时,代,231,231,1.0
成,绩,231,231,1.0
作,者,231,231,1.0
公,里,231,231,1.0
应,该,230,230,1.0
表,现,230,230,1.0
京,剧,230,230,1.0
高,度,229,229,1.0
电,力,229,229,1.0
执,行,229,229,1.0
斯,坦,228,228,1.0
汽,车,228,228,1.0
现,象,227,227,1.0
减,少,227,227,1.0
进,程,227,227,1.0
读,者,226,226,1.0
力,度,225,225,1.0
突,破,224,224,1.0
最,后,224,224,1.0
商,业,223,223,1.0
人,士,222,222,1.0
观,众,221,221,1.0
腐,败,221,221,1.0
尼,亚,221,221,1.0
准,备,220,220,1.0
２,．,219,219,1.0
伟,大,217,217,1.0
法,律,215,215,1.0
近,年,214,214,1.0
甚,至,214,214,1.0
案,件,214,214,1.0
业,务,213,213,1.0
学,院,213,213,1.0
平,均,212,212,1.0
每,年,212,212,1.0
卫,生,212,212,1.0
．,８,211,211,1.0
大,型,210,210,1.0
引,起,210,210,1.0
规,范,209,209,1.0
逐,步,208,208,1.0
举,办,208,208,1.0
市,委,207,207,1.0
队,伍,207,207,1.0
或,者,206,206,1.0
需,求,206,206,1.0
成,员,206,206,1.0
反,对,206,206,1.0
明,确,206,206,1.0
设,备,205,205,1.0
其,琛,205,205,1.0
能,够,202,202,1.0
连,续,202,202,1.0
关,键,200,200,1.0
出,席,200,200,1.0
培,养,199,199,1.0
集,体,199,199,1.0
交,流,198,198,1.0
当,前,198,198,1.0
速,度,198,198,1.0
欢,迎,198,198,1.0
反,映,198,198,1.0
专,业,198,198,1.0
及,时,198,198,1.0
巨,大,196,196,1.0
食,品,194,194,1.0
正,式,193,193,1.0
共,产,192,192,1.0
丰,富,192,192,1.0
节,日,192,192,1.0
比,较,191,191,1.0
十,一,190,190,1.0
．,２,190,190,1.0
检,察,190,190,1.0
完,全,189,189,1.0
会,谈,189,189,1.0
谈,判,188,188,1.0
完,善,188,188,1.0
限,公,188,188,1.0
意,见,187,187,1.0
篮,子,187,187,1.0
恢,复,186,186,1.0
意,识,186,186,1.0
江,苏,186,186,1.0
突,出,186,186,1.0
泰,国,186,186,1.0
超,过,185,185,1.0
一,直,184,184,1.0
菜,篮,184,184,1.0
下,午,183,183,1.0
各,国,182,182,1.0
转,变,182,182,1.0
南,省,182,182,1.0
文,艺,182,182,1.0
设,计,181,181,1.0
区,域,181,181,1.0
汇,率,181,181,1.0
人,类,180,180,1.0
适,应,180,180,1.0
利,亚,180,180,1.0
风,险,180,180,1.0
５,万,180,180,1.0
朋,友,179,179,1.0
一,切,179,179,1.0
从,而,179,179,1.0
教,师,179,179,1.0
状,况,178,178,1.0
依,法,178,178,1.0
选,手,178,178,1.0
改,变,177,177,1.0
关,心,177,177,1.0
生,命,177,177,1.0
．,６,177,177,1.0
虽,然,176,176,1.0
阿,拉,176,176,1.0
纪,念,176,176,1.0
．,４,176,176,1.0
奋,斗,175,175,1.0
节,目,175,175,1.0
医,疗,175,175,1.0
全,球,174,174,1.0
正,确,174,174,1.0
安,排,174,174,1.0
广,泛,174,174,1.0
严,格,174,174,1.0
批,准,174,174,1.0
维,护,173,173,1.0
基,地,173,173,1.0
艰,苦,172,172,1.0
保,障,172,172,1.0
程,度,172,172,1.0
切,实,171,171,1.0
典,型,171,171,1.0
相,互,171,171,1.0
党,员,171,171,1.0
观,念,170,170,1.0
选,择,170,170,1.0
建,议,169,169,1.0
下,降,169,169,1.0
放,军,169,169,1.0
共,和,168,168,1.0
小,组,168,168,1.0
电,子,168,168,1.0
先,生,167,167,1.0
著,名,167,167,1.0
粮,食,167,167,1.0
省,委,167,167,1.0
迅,速,167,167,1.0
军,区,167,167,1.0
开,拓,166,166,1.0
３,．,166,166,1.0
克,思,166,166,1.0
进,展,165,165,1.0
拥,有,165,165,1.0
事,件,165,165,1.0
分,配,165,165,1.0
非,常,164,164,1.0
损,失,164,164,1.0
色,列,164,164,1.0
形,象,163,163,1.0
范,围,163,163,1.0
繁,荣,162,162,1.0
协,议,162,162,1.0
全,省,162,162,1.0
确,定,161,161,1.0
武,器,161,161,1.0
探,索,161,161,1.0
协,调,160,160,1.0
宏,观,160,160,1.0
一,九,159,159,1.0
面,临,159,159,1.0
改,造,159,159,1.0
尤,其,158,158,1.0
第,十,156,156,1.0
今,后,156,156,1.0
．,７,156,156,1.0
股,市,155,155,1.0
．,３,154,154,1.0
四,川,154,154,1.0
．,１,154,154,1.0
深,化,153,153,1.0
坚,决,153,153,1.0
广,州,153,153,1.0
科,研,153,153,1.0
兼,并,153,153,1.0
股,票,153,153,1.0
尽,管,152,152,1.0
儿,童,152,152,1.0
南,亚,152,152,1.0
给,予,152,152,1.0
第,四,151,151,1.0
